country,state,state_latitude,state_longitude,order_volume,avg_delivery_time_days,cluster,composite_weight,new_dc_latitude,new_dc_longitude
Brasil,Acre,-9.0478679,-70.5264976,17,2.4162990196078433,1,41.077083333333334,28.033280761417394,13.402669013844182
Japan,Aichi,34.9991645,137.254574,24,2.7809606481481484,1,66.74305555555556,28.033280761417394,13.402669013844182
Japan,Akita,39.6898802,140.342608,1,1.3319444444444444,1,1.3319444444444444,28.033280761417394,13.402669013844182
United States,Alabama,33.2588817,-86.8295337,77,2.635858585858586,1,202.9611111111111,28.033280761417394,13.402669013844182
Brasil,Alagoas,-9.6611661,-36.6502426,82,3.0555555555555554,0,250.55555555555554,25.365293299817665,14.636612456187178
United States,Alaska,64.4459613,-149.680909,11,2.047853535353535,1,22.52638888888889,28.033280761417394,13.402669013844182
Brasil,Amapá,1.3545442,-51.9161977,46,2.2410326086956522,1,103.0875,28.033280761417394,13.402669013844182
Brasil,Amazonas,-0.605953,-51.5646747,216,2.6109567901234567,1,563.9666666666667,28.033280761417394,13.402669013844182
Colombia,Amazonas,-1.305299,-71.4659212,216,2.6109567901234567,1,563.9666666666667,28.033280761417394,13.402669013844182
Spain,Andalucía,37.3399964,-4.5811614,291,2.493122374952272,1,725.4986111111111,28.033280761417394,13.402669013844182
China,Anhui,32.0,117.0,380,2.5485380116959067,1,968.4444444444446,28.033280761417394,13.402669013844182
Japan,Aomori,40.886943,140.590121,4,2.464930555555555,1,9.85972222222222,28.033280761417394,13.402669013844182
Spain,Aragón,41.3787291,-0.7639373,20,2.7448611111111108,1,54.89722222222221,28.033280761417394,13.402669013844182
United States,Arizona,34.395342,-111.763275,338,2.46586127547666,1,833.4611111111111,28.033280761417394,13.402669013844182
United States,Arkansas,35.2048883,-92.4479108,51,2.744035947712418,1,139.94583333333333,28.033280761417394,13.402669013844182
Australia,Australian Capital Territory,-35.4883502,149.0026942,16,2.579470486111111,1,41.27152777777778,28.033280761417394,13.402669013844182
France,Auvergne-Rhône-Alpes,45.2968119,4.6604809,266,2.501657790309106,1,665.4409722222222,28.033280761417394,13.402669013844182
Germany,Baden-Württemberg,48.53775,9.041169,198,2.5609743265993266,1,507.0729166666667,28.033280761417394,13.402669013844182
Brasil,Bahia,-12.285251,-41.9294776,656,2.544110984078591,2,1668.9368055555556,29.885920236499437,37.91200344025973
Germany,Bayern,48.9467562,11.4038717,217,2.5832181259600615,1,560.5583333333334,28.033280761417394,13.402669013844182
China,Beijing,40.190632,116.412144,970,2.515322164948454,2,2439.8625,29.885920236499437,37.91200344025973
Germany,Berlin,52.510885,13.3989367,91,2.389033882783883,1,217.40208333333334,28.033280761417394,13.402669013844182
France,Bourgogne-Franche-Comté,47.118711,4.9691044,66,2.3746527777777775,1,156.72708333333333,28.033280761417394,13.402669013844182
Germany,Brandenburg,52.8455492,13.2461296,54,2.4644675925925927,1,133.08125,28.033280761417394,13.402669013844182
Germany,Bremen,53.0758196,8.8071646,7,1.898611111111111,1,13.290277777777778,28.033280761417394,13.402669013844182
France,Bretagne,48.2640845,-2.9202408,87,2.327729885057471,1,202.5125,28.033280761417394,13.402669013844182
Belgium,Brussels,50.8465573,4.351697,33,2.771717171717172,1,91.46666666666667,28.033280761417394,13.402669013844182
South Korea,Busan,35.1799528,129.0752365,175,2.605674603174603,1,455.99305555555554,28.033280761417394,13.402669013844182
United States,California,36.7014631,-118.755997,1615,2.498986498108015,2,4035.8631944444446,29.885920236499437,37.91200344025973
Spain,Canarias,28.2935785,-16.6214471,48,2.7321035879629627,1,131.14097222222222,28.033280761417394,13.402669013844182
Spain,Cantabria,43.1595664,-4.0878382,11,1.6885732323232323,1,18.574305555555554,28.033280761417394,13.402669013844182
Spain,Castilla y León,41.55005,-5.1387401,49,2.67062074829932,1,130.86041666666668,28.033280761417394,13.402669013844182
Spain,Castilla-La Mancha,39.4177902,-2.6232332,66,2.5625315656565655,1,169.12708333333333,28.033280761417394,13.402669013844182
Spain,Cataluña,41.8523094,1.5745043,344,2.438343830749354,1,838.7902777777778,28.033280761417394,13.402669013844182
Brasil,Ceará,-5.3264703,-39.7156073,385,2.5486814574314574,1,981.2423611111111,28.033280761417394,13.402669013844182
France,Centre-Val de Loire,47.5490251,1.7324062,70,2.701031746031746,1,189.07222222222222,28.033280761417394,13.402669013844182
Spain,Ceuta,35.894422,-5.3558174,2,0.5642361111111112,1,1.1284722222222223,28.033280761417394,13.402669013844182
Japan,Chiba,35.549399,140.2647303,84,2.8253554894179893,1,237.32986111111111,28.033280761417394,13.402669013844182
China,Chongqing,30.05518,107.8748712,236,2.460890419020716,1,580.7701388888889,28.033280761417394,13.402669013844182
South Korea,Chungcheongnam-do,36.6593,126.6729,78,2.745815527065527,1,214.17361111111111,28.033280761417394,13.402669013844182
United States,Colorado,38.7251776,-105.607716,188,2.526673315602837,1,475.01458333333335,28.033280761417394,13.402669013844182
Spain,Comunidad Valenciana,39.6819591,-0.7654406,259,2.605753968253968,1,674.8902777777778,28.033280761417394,13.402669013844182
Spain,Comunidad de Madrid,40.5248319,-3.7715628,306,2.469151688453159,1,755.5604166666667,28.033280761417394,13.402669013844182
United States,Connecticut,41.6500201,-72.7342163,78,2.522605056980057,1,196.76319444444445,28.033280761417394,13.402669013844182
